Title,Duration,Media Play Count,Audio Media Play Count,Video Media Play Count,Unclassified Media Play Count,LISTEN Play Count,1 Minute Media Play Count,5 Minute Media Play Count,Completed Media Count,Total Media Play Time,View Count,Users
202: コンビニおでん王 ~セブンvsファミマ、ローソンはどこへ~,00:44:40,182,182,0,0,4,182,171,142,113h,2,2
201: 祝200回！EP152~199大振り返り会,00:35:22,165,165,0,0,3,165,157,131,84h,4,4
200:  祝200回！EP100~151大振り返り会,00:31:12,151,151,0,0,2,151,143,124,68h,3,3
199: 【ネタバレ注意】サイレントヒル f ~狩野英孝と見るトラウマホラー~,00:53:12,263,263,0,0,3,263,256,218,205h,38,37
198:生成AIサービスのアクションボタンのベスト配置を考えよう ~鰻の成瀬とシャクティマットの話もあるよ~,00:47:37,193,193,0,0,3,193,181,149,128h,5,5
197: 越境って、何？~そして責任とオーナーシップに続く~,00:31:57,226,226,0,0,4,223,212,165,100h,10,10
12/6(土)は、マヂカル.fmの公開収録に来てほしい,00:02:50,149,149,0,0,2,149,0,149,7h,5,5
196: 富ヶ谷からはじまる手作りバーガー伝説 ~FRESHNESS BURGERを知る頃~,00:38:50,162,162,0,0,1,160,153,123,87h,1,1
195: 「現場で活用するためのAIエージェント実践入門」を読もう 後編,00:45:54,188,188,0,0,2,187,176,133,115h,9,9
194: 「現場で活用するためのAIエージェント実践入門」を読もう 前編,00:41:05,257,257,0,0,6,254,241,190,145h,17,16
193: Café&Meal MUJI ~悲劇から始まる最強お惣菜決定戦~,00:29:24,162,162,0,0,2,160,152,130,69h,17,10
192: 朝食の思い出 ~コーンマヨおじと牛乳地獄~,00:26:39,210,210,0,0,1,210,203,180,84h,6,4
191: オモコロ20周年展 ~菓子盆選手権と美少女シャワー~,00:25:02,207,207,0,0,0,207,198,173,78h,16,6
【お知らせ】12/6(土)に公開収録やるよ〜！,00:07:20,192,192,0,0,0,192,186,183,23h,7,2
190: アイカツ!×プリパラ THE MOVIE ~トモチケをパキろう~,00:26:53,229,229,0,0,3,229,217,171,88h,6,7
189: 会社にヘルプガイドをもとに質問に答えてくれるbotのRAGを導入した結果www,00:39:28,290,290,0,0,2,287,266,170,140h,11,11
188: ラスト万博 ~8カ国を駆け抜けた女と横入りのおぢ~,00:45:29,282,282,0,0,2,282,263,136,131h,4,6
187: ZINEフェス東京出展 ~ブースは入口近く、財布は遠く~,00:29:15,218,218,0,0,2,218,206,155,89h,11,9
186: 駆け込み万博 後編 ~WORST UX DESIGN TOILET~,00:31:30,198,198,0,0,1,198,187,156,89h,7,4
185: 駆け込み万博 前編 ~入場の地獄から、イタリアパビリオンまで~,00:30:54,207,207,0,0,1,206,196,163,91h,21,15
184: ミニストップを知る頃 ~毎日食べたいメロンパン、週一でいいクロワッサン~,00:41:43,219,219,0,0,3,219,204,163,124h,9,3
183: クロワッサン最強王決定戦 麻布台 & ベスト3発表編 ~パン画像認識POSレジサービス~,00:37:22,189,189,0,0,3,189,174,140,95h,21,8
182: クロワッサン最強王決定戦 日比谷・丸の内編  ~ 最も暴力的なクロワッサン、現る ~,00:28:51,195,195,0,0,1,195,180,148,78h,16,4
181: プライドって何? ~ あるいは、愛される老人の三大美徳~,00:51:56,268,268,0,0,2,267,255,210,195h,11,8
180: ZINE Vol.2 制作 ~InDesignと悪魔のプライシング~,00:30:45,229,229,0,0,1,229,217,194,104h,8,5
179: 君はタコとイカの味の違いを説明できるか? ~なぜ千切りレタスはないのか~,00:20:15,222,222,0,0,1,221,209,188,68h,5,3
178: お互いのプロフィールクイズ ~懐かしの平成文房具たち~,00:47:23,242,242,0,0,2,241,227,192,161h,10,5
177: サーティーワン最強王決定戦 ~りんご飴のりんごは要らない~,00:41:37,230,230,0,0,1,230,220,187,138h,21,10
176: 最近の普段使いLLMサービスを話そう ~爆速のCerebras~,00:46:31,195,195,0,0,2,193,178,142,122h,20,11
175: 鹿児島・広島旅行 ~地元グルメ紹介からのパソコン相談室~,00:59:22,277,277,0,0,1,276,257,222,231h,24,8
174: めざせ大阪万博マスター パビリオン・ごはん・お土産編 ~リサーチがすべて~,01:12:46,349,349,0,0,2,349,322,258,340h,20,13
173: めざせ大阪万博マスター 事前準備編 ~まだパビリオンに辿り着かない~ ゲスト:aochan,00:40:36,285,285,0,0,5,281,266,206,156h,8,7
172: 大阪・京都旅行 ~梅田迷宮とマルシン飯店ファストパス体験~,00:35:16,295,295,0,0,4,294,273,237,149h,15,13
171: 京都のおすすめレストラン ~マルシン飯店は毎日でも行きたい vs そうでもない~,00:32:27,293,293,0,0,3,291,275,245,139h,13,3
170: 会津のおすすめレストラン ~あの時の坊主です、今はアフロになりました~,00:19:57,261,261,0,0,3,258,244,230,79h,15,10
169: 2025年上半期 買ってよかったもの 後編 ~巻き取り式ケーブル地獄~,00:23:14,311,311,0,0,2,310,298,256,107h,36,13
168: 2025年上半期 買ってよかったもの 前編 ~デザインと機能の狭間で~,00:29:27,293,293,0,0,3,293,275,237,127h,21,10
167: 1万円分の本を読もう 後編 ~口に出して読みたい日本語、ど冷えもん ~,00:23:43,388,388,0,0,2,385,282,222,103h,13,6
166: 1万円分の本を読もう 前編 ~河口湖で読書合宿 ~,00:40:14,290,290,0,0,1,289,274,233,168h,20,11
165: おしえて、VALORANT ~即ピは戦争の始まり~,00:45:54,269,269,0,0,2,269,252,206,171h,7,4
164: ザ・コンビニ ~黄金チキンと春巻きと私~,00:29:59,226,226,0,0,4,226,215,186,100h,9,6
163: 雑談回 2025 Summer ~水ゼリー、ずんだもん、人格AI~,00:45:06,236,236,0,0,3,235,219,179,148h,9,7
162: 陰キャって、何? ~陽of陽という名のユニコーン~,00:35:40,243,243,0,0,2,241,225,191,122h,6,4
161: 褒めるって、何? ~ 褒められたことがない vs 目の前の人を褒められない ~,00:49:01,266,266,0,0,4,256,242,196,176h,25,12
160: 占いに行ってみた ~金こそ全て、友達も金で買えるから~,00:35:01,237,237,0,0,3,221,213,180,114h,13,7
159: 給食の思い出 ~ミルメーク・揚げパン・ガチョピント~,00:35:54,219,219,0,0,3,211,197,177,111h,5,3
158: 祖母の見送り ~葬式DeepResearch~,00:38:05,203,203,0,0,3,197,183,160,107h,6,7
157: おしえて、XG ~マッスルマザーとロリータファーザー、時々全身ライブグッズの男~ ゲスト:くつお,01:08:25,339,339,0,0,1,330,311,242,312h,17,11
156: コミティア偵察 & マヂ友さんのおたより紹介 ~メルルーサって、何?~,00:45:16,246,246,0,0,3,237,225,195,155h,5,5
155: クソガキな新卒を語ろう ~チヤホヤの末路、俺達が生んだ化け物~  ゲスト:人事のMさん,01:18:04,381,381,0,0,9,364,348,237,372h,38,25
154: マッサージ、行ってる？ ~疲れを知らないオバたち~,00:26:07,217,217,0,0,3,209,199,178,82h,22,8
153: ZINEフェス東京初出店 ~かわいさのレッドオーシャン、相手の土俵で戦うな~,00:31:04,239,239,0,0,2,233,215,191,104h,12,10
152: プレーリーカードばり便利〜ゲーム実況がしたい〜,00:28:36,197,197,0,0,3,189,177,165,82h,12,6
151: 森、道、市場 2025 DAY2 ~どこもかしこも駐車場~,00:32:17,221,221,0,0,5,216,204,176,102h,18,5
150: 森、道、市場 2025 DAY1 ~迷子の豊橋物語~,00:22:19,235,235,0,0,4,231,213,182,75h,15,8
149: Ad Block by DNS 入門 ~笑いが少なくてゴメンネ~,00:28:30,235,235,0,0,0,219,203,164,88h,14,5
148: 文学フリマで買った本＆おたより ~嘘エッセイからAI探偵まで~,00:42:07,230,230,0,0,3,224,206,164,127h,16,8
147: 帝国ホテルで3時間の朝食を ~約束された幸せ、Imperial Viking~,00:30:03,235,235,0,0,2,226,214,183,99h,10,6
146:春のコンテンツ祭 ~バキ童ch オンリー・新幹線大爆破・ チ。・サンダーボルツ~,00:36:59,231,231,0,0,2,226,213,179,119h,13,6
145: 文学フリマ初出店 ~おふたりは友達じゃないんですか？~,00:34:25,2569,2569,0,0,2,2551,1423,187,329h,15,10
144: 大江戸線徒歩一周 ~夜23時、光が丘集合~,00:51:41,263,263,0,0,4,257,240,194,186h,18,16
143: Arcブラウザやめました ~Dia・Zen・DuckDuckGo~,00:38:26,432,432,0,0,3,368,327,223,170h,148,130
142: 石垣島ダイビング 〜マンタとウミガメとロウニンアジと〜,00:35:24,193,193,0,0,2,191,180,169,103h,13,9
141: ZINE入稿エラークソデカPDF事件 ~ありがとう、iLovePDF~,00:26:26,200,200,0,0,5,193,181,161,76h,9,7
140: お腹を満たす飲み物、深夜の作業場所 ~マグロハンターから届いた謎のおたより~,00:31:41,216,216,0,0,3,209,197,171,98h,21,9
139:5/11文学フリマ東京40_し-80 ~ InDesign大好き~,00:38:34,186,186,0,0,1,173,168,144,98h,16,7
138: 東京ステーションホテル ~宿泊者専用◯◯~,00:30:17,194,194,0,0,1,185,178,160,84h,8,6
137: ZINEフェス東京視察 ~爆モテ、アフロ~,00:22:49,189,189,0,0,1,179,171,159,63h,13,4
136:ガチ雑談がしたい ~教皇選挙からWindsurfまで~,00:45:11,2732,2732,0,0,3,2705,1307,179,383h,23,14
135: 猫でもわかるMCP ~LLM時代の大統一規格~,00:41:19,402,402,0,0,3,379,357,288,220h,31,17
134: 似て非なるものたち  ~アベックか、カップルか~,00:32:37,229,229,0,0,2,213,206,191,107h,15,9
133:文学フリマ東京40に出展するよ ~ZINE、はじめました~,00:27:22,207,207,0,0,1,196,182,162,79h,12,7
132: スパジャポ缶詰漫画会 ~熟年層不倫のパターン学習~,00:38:11,206,206,0,0,1,199,185,158,109h,16,9
131: 教えて、RSS ~yak shavingなふたり~,00:45:22,280,280,0,0,3,250,238,196,161h,20,9
130: 一家に一台、Cursor ~闇落ちupaの片鱗~,00:39:05,286,286,0,0,5,269,255,199,147h,23,18
129: 国語辞典逆引きクイズ ~壮絶な、サ終~,00:37:09,199,199,0,0,3,189,176,153,101h,30,29
128: 宣言的 vs 手続き的 ~タイトルコールをアレンジすると本編が始められない~,00:46:34,254,254,0,0,4,240,232,176,156h,12,7
127: 祝・山手線徒歩一周完走 ~新たなる路線を探して~,00:30:08,194,194,0,0,2,184,175,151,84h,22,13
126: 冪等性（べきとうせい）って何? ~再現性と、もう間違えない~,00:28:22,245,245,0,0,4,228,216,176,93h,39,29
125: 動物偏見クイズ ~タワマンに住む奥さんみたいな動物は?~,00:31:16,201,201,0,0,4,185,176,158,87h,26,18
124: 知らなくても正解にたどり着けるクイズ ~2025年で一番恥ずかしい~,00:23:08,198,198,0,0,1,188,181,163,67h,18,8
123: 最近読んだ本 ~生産性と、マネジメントと、時々、短歌~,00:32:48,228,228,0,0,2,219,207,174,105h,20,8
122: timelesz project ~アイドル・オーディション番組経験値ゼロでもいけた~,00:47:50,249,249,0,0,2,237,228,181,163h,20,13
121: 1万円分の本を買おう ~漫画家 vs タイムパフォーマンス追求集団 ~ ゲスト:黄身子,00:39:57,257,257,0,0,5,248,236,201,143h,90,43
120: うろ覚え昔話 ~白雪姫は王子のキスで目覚めない~,00:39:18,184,184,0,0,2,177,168,151,105h,15,8
119: 鬼怒川温泉ではハンバーグ、コメダ珈琲ではチーズカリートーストを食べるべし ~のぴちゃん待ってるね~,00:29:07,213,213,0,0,3,202,194,168,88h,10,8
118: 君たちはWikipediaゴルフを知っているか ~ぽんぽこ沼に気をつけろ~,00:26:33,217,217,0,0,2,205,190,0,41h,20,11
117: 続・山手線徒歩一周 ~必要なのはアプリ開発、無人マッサージ、水平思考~,00:34:32,237,237,0,0,3,213,198,0,54h,65,39
116: 2024年課金サービス大公開 ~階層構造バトル~,00:28:16,290,290,0,0,4,273,262,219,114h,22,18
115: ようこそ、執事喫茶 ~お嬢様、乗馬のお時間でございます~ ゲスト:黄身子,00:42:10,238,238,0,0,5,226,214,186,140h,16,11
114: 互いの日記を読もう ~揚げ・焼き・魚~,00:33:56,238,238,0,0,6,221,208,184,111h,34,14
113: 空腹を我慢できるvsできない ~俺が中央区でたけのこの里を一番食ってる~,00:27:08,228,228,0,0,2,215,208,185,89h,27,7
112: アフロになったupamune ~坊主→永野→パパイヤ鈴木~,00:29:22,210,210,0,0,4,197,187,167,87h,24,9
111: MBTI診断・再 ~あなたもわたしも、ダークネス~,00:47:25,234,234,0,0,5,222,215,174,152h,20,15
110: 2025年の目標 ~upamune vs 変化に強い身体~,00:38:44,226,226,0,0,4,211,196,168,117h,22,16
109: 2024年の振り返り ~トモダチ、できた~,00:27:09,214,214,0,0,4,201,189,170,82h,21,16
108: 2024年に買ってよかったもの ~SHAKAを信じろ~,00:55:25,242,242,0,0,7,230,212,174,177h,24,21
107: 軽音ライブと山手線徒歩一周 ~思い出の1週間~,00:28:54,212,212,0,0,3,204,188,171,86h,19,14
106: M-1グランプリ2024 ~末締め、まーごめ、剛力彩芽~,00:36:32,235,235,0,0,2,225,211,177,116h,16,12
105: 生成AIでいっぱい開発 ~エセゆるコンピュータ科学ラジオ~,00:45:17,221,221,0,0,3,212,196,170,136h,25,12
104: Mr&Msプレゼンター ~贈り物、してますか?~,00:28:37,217,217,0,0,5,200,191,166,85h,13,8
103:【後編】マヂ友さんの100回記念おたより,00:19:10,189,189,0,0,1,179,167,159,53h,12,9
102: 【前編】マヂ友さんの100回記念おたより,00:41:45,222,222,0,0,4,211,192,165,124h,18,10
101: 【後編】祝100回！EP1~99大振り返り会,00:29:27,206,206,0,0,5,197,186,160,84h,15,12
100: 【前編】祝100回！EP1~99大振り返り会,00:34:00,212,212,0,0,4,202,187,167,100h,13,6
99: 勉強会のあとの懇親会 ~実は僕、友達いました~,00:22:04,289,289,0,0,4,275,259,235,91h,22,13
98: ブラックフライデーで買ったもの ~お願い、エンハンス~,00:26:34,217,217,0,0,5,205,190,170,80h,20,19
97: サイゼリヤ ~今日も俺たちは好みが合わない~,00:27:24,215,215,0,0,8,202,192,167,81h,21,16
96: 博識な新卒（生成AI）を激詰めする回 ~Raycast、v0、bolt、Replit~,00:34:28,258,258,0,0,3,237,212,174,111h,21,17
95: M-1 3回戦を3回見に行った男 ~あるいは号泣しながら料理する男~,00:29:02,253,253,0,0,2,234,207,174,92h,78,54
94: Oura Ring ~もう通知見ないなんて言わないよ絶対~,00:20:39,200,200,0,0,3,191,173,151,57h,32,21
93: iPhone16 ~アクションボタンに何を設定されていますか?~,00:27:15,186,186,0,0,2,173,163,146,70h,23,9
92: 中本・ コンカフェ2・コンテンツ近況 ~配信する頃にはもう私はいません~,00:44:21,211,211,0,0,2,200,188,169,130h,40,20
91: やっぱ日光金谷ホテル ~大河ドラマにしたほうがいい~,00:39:45,221,221,0,0,2,213,193,174,121h,36,21
90: Podcast Weekend ~カレー粉こそが最強のイベントグッズ~,00:20:06,211,211,0,0,2,196,177,162,57h,27,21
89: 使ってるマウス・ディスプレイ ~モニタ使わないほうが集中できる説~,00:22:05,222,222,0,0,3,214,197,180,69h,28,18
88: TOKYO ISLAND行ってきた ~隅田川でテナガエビを捕まえよう！~,00:32:15,207,207,0,0,2,197,181,156,91h,26,21
87: Bリーグに行ってきたよー ~暴れないから紳士~,00:30:16,198,198,0,0,5,188,177,158,84h,18,12
86: 自作PC、最近の散財 ~人のPCを買うのが一番楽しい~,00:48:57,177,177,0,0,4,168,158,140,121h,25,17
85: THE KEYBOARD ~JIS配列 vs US配列~,00:37:55,232,232,0,0,2,218,205,178,120h,25,14
84: ケアンズ旅行 ~シドニーワラビー通り42、Ｐ・シャーマン~,00:42:32,215,215,0,0,2,200,190,167,124h,28,18
83: ミスド最強王決定戦 ~俺たちは絶対に好みが被らない~,00:45:33,226,226,0,0,3,214,198,178,142h,26,16
82: ドムドムハンバーガーを知っているか ~憧れのかりんとう饅頭~,00:33:00,271,271,0,0,2,230,213,187,109h,130,115
81: 色々試してどう? ~概念会との収録、Aerのリュック、Cosense~,00:33:47,240,240,0,0,3,220,196,176,105h,25,16
80:キャパ超えは生活に出る ~私がトヨエツだったとき~ ゲスト:概念会,00:18:31,226,226,0,0,5,215,199,181,59h,63,45
79:ベストパートナーになるために ~結局どっちもどっち~ ゲスト:概念会,01:01:13,147,147,0,0,7,146,137,117,129h,62,43
78: プレゼント選び、ながら聴き ~コナンの事件パートを飛ばす人~ ゲスト:概念会,00:45:02,244,244,0,0,4,222,199,171,139h,71,43
77: Podcast Weekend ~将来に不安を抱く無名人雑談番組~,00:21:42,207,207,0,0,3,189,178,159,61h,25,13
76:朝ご飯食べてる？Wise使ってる？ ~俺が考える、最強のホットサンド~,00:27:46,223,223,0,0,8,213,190,174,84h,39,30
75: おしえて、リュック ~突然の遊戯王カード~,00:28:43,240,240,0,0,4,223,198,183,92h,28,17
74: ブログ・登壇準備、何とかしたい ~おいらは昆虫大好き少年だよ〜！~,00:46:16,237,237,0,0,5,226,207,176,147h,26,16
